Skema,Training,Validation,Testing,Params,Threshold,CV_Accuracy,Val_Accuracy,Test_Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
80:10:10,734,92,92,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.03}",0.37500000000000006,0.8664850136239782,0.8804347826086957,0.8804347826086957,0.8703703703703703,0.9215686274509803,0.8952380952380953,0.9435676709708274,0.9376255327826526
70:15:15,642,138,138,"{'iterations': 300, 'depth': 5, 'learning_rate': 0.05}",0.4550000000000001,0.8753894080996885,0.855072463768116,0.9130434782608695,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.9293293718166383,0.9380789332641934
70:20:10,642,184,92,"{'iterations': 200, 'depth': 4, 'learning_rate': 0.05}",0.49000000000000016,0.8566978193146417,0.9130434782608695,0.9021739130434783,0.92,0.9019607843137255,0.9108910891089109,0.93974175035868,0.9381198343810171
