Model,Skema,Training,Validation,Testing,Params,Threshold,CV_Accuracy,Val_Accuracy,Test_Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
CatBoost,80:10:10,734,92,92,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.03}",0.37500000000000006,0.8664850136239782,0.8804347826086957,0.8804347826086957,0.8703703703703703,0.9215686274509803,0.8952380952380953,0.9435676709708274,0.9376255327826526
XGBoost,80:10:10,734,92,92,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.05}",0.5100000000000002,0.8596730245231607,0.9130434782608695,0.8695652173913043,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9301769488283118,0.9212463159169908
CatBoost,70:15:15,642,138,138,"{'iterations': 300, 'depth': 5, 'learning_rate': 0.05}",0.4550000000000001,0.8753894080996885,0.855072463768116,0.9130434782608695,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.9293293718166383,0.9380789332641934
XGBoost,70:15:15,642,138,138,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1}",0.4550000000000001,0.8691588785046729,0.8478260869565217,0.8623188405797102,0.88,0.868421052631579,0.8741721854304636,0.9112903225806451,0.9150496150135046
CatBoost,70:20:10,642,184,92,"{'iterations': 200, 'depth': 4, 'learning_rate': 0.05}",0.49000000000000016,0.8566978193146417,0.9130434782608695,0.9021739130434783,0.92,0.9019607843137255,0.9108910891089109,0.93974175035868,0.9381198343810171
XGBoost,70:20:10,642,184,92,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.03}",0.46000000000000013,0.8411214953271028,0.9130434782608695,0.8913043478260869,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9306551889048302,0.9263158840450045
